Country,Unemployment_Rate,GDP_per_capita,Employment_Rate,Average_Salary,Education_Level,Life_Expectancy,Public_Spending
Belgium  ,16.1,46408.39,66.6,3294.16,899300,82.5,274274.9
Denmark  ,11.5,67270.18,76.6,6725.61,390500,81.9,165466.4
Montenegro  ,17.7,18726.11,53.8,679.87,29500,76.4,1703.82
Romania  ,21.8,11413.38,63,503.41,483000,76.6,43692.94
Austria  ,10.4,54308.3,74.1,3423.23,436800,81.6,210911.6
Bosnia and Herzegovina  ,30.1,12228.92,72.4,648.25,73500,77.4,28183.13
Bulgaria  ,12.1,17622.21,51.8,671.45,293700,75.8,23724.81
Czechia  ,8.3,40230.71,75.1,1410.75,352500,80,107481.3
Cyprus  ,16.6,39827.59,75.2,2139.53,137100,82.6,12111.29
Croatia  ,18.9,32003.13,71.4,1340.38,198400,78.6,30461.34
Switzerland  ,7.9,89403.85,80.7,6385.58,483600,84.2,282475.2
Estonia  ,17.3,31349.21,76.2,1310.32,144000,78.8,11690.67
Finland  ,16.2,53455.45,74,3351.37,392700,81.7,135748.3
France  ,17.2,49444.92,68.4,3240.59,3384000,83.1,1471029
Germany  ,5.9,49920.76,77.2,3484.64,2900000,80.7,1716892
Greece  ,26.7,34068.84,61.8,1183.79,598000,81.6,105372.8
Ireland  ,10.7,110114.8,74,2918.01,699000,82.6,107011
Iceland  ,8.8,55012.06,74,4807.16,45000,82.6,10005.33
Italy  ,22.7,46054.89,61.5,3178.83,1440000,83.8,1050595
Latvia  ,12.3,23812.5,71.4,1038.88,136000,75.9,11494.01
Lithuania  ,13.8,30975.77,73.2,1423.31,205000,77.3,19327.76
Luxembourg  ,18.8,115412.2,70.3,2993.61,68550,83.4,32709.95
North Macedonia  ,14.4,13965.52,49.1,554.43,120000,76.2,16906
Malta  ,9.2,42054.57,77.8,1557.74,61000,75.8,6440.78
Norway  ,11,71547.95,77.4,2522.88,460900,82.6,152689.4
Poland  ,11.4,29901.96,72.4,1339.64,1660000,78.6,264026.6
Portugal  ,20.5,34372.5,72.4,874.58,816000,82.4,96960.05
Serbia  ,25,18356.16,64.7,728.73,279600,76.2,20148.25
Slovakia  ,19.8,34353.48,72,1519.6,206400,78.1,48769.4
Slovenia  ,9.9,43201.24,72.5,1980.64,119200,82,24711.85
Spain  ,28.7,40384.62,65.3,2176.12,2782500,84,609212.9
Sweden  ,22.1,58934.17,77.4,2814.25,628500,83.4,224249.4
Netherlands  ,8.2,61057.77,82.4,2835.24,844800,82,385247.6
Turkey  ,17.5,16172.19,53.8,630.55,3270000,77.3,180809.5
Hungary,12.8,23023.26,74.8,952.6,385500,76.9,60517.4
